epoch,train_loss,train_acc,val_loss,val_acc,elapsed_s
1,0.821741,0.689293,0.441332,0.853333,18.6
2,0.348916,0.880497,0.389842,0.866667,3.7
3,0.237988,0.915870,0.274153,0.920000,3.9
4,0.228924,0.921606,0.179093,0.946667,3.7
5,0.201219,0.931166,0.203095,0.960000,4.2
6,0.181597,0.941683,0.189007,0.946667,4.2
7,0.144071,0.955067,0.190710,0.946667,3.6
8,0.112053,0.960803,0.473023,0.880000,3.7
9,0.166922,0.946463,0.202676,0.946667,3.6
10,0.099422,0.972275,0.104941,0.973333,3.6
11,0.072215,0.976099,0.130448,0.973333,3.7
12,0.104268,0.963671,0.145023,0.964444,3.4
13,0.072923,0.977055,0.149172,0.960000,3.5
14,0.080429,0.968451,0.116459,0.968889,3.9
15,0.099711,0.964627,0.113125,0.977778,4.1
16,0.058135,0.979924,0.083164,0.991111,4.2
17,0.069499,0.973231,0.112559,0.986667,3.6
18,0.033874,0.988528,0.089024,0.986667,3.5
19,0.036160,0.991396,0.090538,0.982222,3.5
20,0.032869,0.987572,0.089551,0.982222,3.5
21,0.036889,0.986616,0.089284,0.977778,3.8
22,0.028925,0.989484,0.058058,0.991111,3.7
23,0.030098,0.990440,0.057679,0.986667,4.2
24,0.023859,0.992352,0.058796,0.982222,3.4
25,0.014395,0.997132,0.063823,0.986667,3.4
26,0.013903,0.997132,0.081681,0.986667,3.6
27,0.011684,0.995220,0.053903,0.991111,3.5
28,0.023552,0.994264,0.069754,0.991111,3.5
29,0.020069,0.989484,0.026982,0.991111,3.5
30,0.011820,0.996176,0.086391,0.986667,3.9
31,0.018082,0.994264,0.086314,0.977778,3.6
32,0.029524,0.991396,0.089781,0.986667,3.6
33,0.011994,0.997132,0.083548,0.991111,3.5
34,0.010206,0.996176,0.085272,0.991111,3.5
35,0.004655,0.999044,0.063531,0.991111,3.6
36,0.007278,0.999044,0.077161,0.991111,3.6
37,0.005803,0.998088,0.082748,0.991111,3.8
38,0.010571,0.997132,0.081418,0.991111,3.9
39,0.003983,0.999044,0.075200,0.991111,4.2
