epoch,train_loss,train_acc,val_loss,val_acc,elapsed_s
1,1.592305,0.391013,1.708833,0.293333,4.5
2,1.307476,0.451243,1.386105,0.471111,5.5
3,1.146110,0.538241,1.120133,0.560000,4.8
4,0.997462,0.608031,1.499333,0.577778,5.2
5,0.971574,0.619503,0.936442,0.613333,5.2
6,0.820411,0.675908,0.904691,0.671111,4.6
7,0.634986,0.759082,0.706239,0.706667,4.7
8,0.703150,0.740918,0.718496,0.746667,4.6
9,0.593860,0.790631,1.210952,0.595556,4.9
10,0.451183,0.823136,0.583023,0.777778,5.3
11,0.536400,0.807839,0.447190,0.813333,4.4
12,0.462235,0.822180,0.385060,0.880000,4.2
13,0.420154,0.841300,0.391230,0.862222,4.1
14,0.322836,0.881453,0.435439,0.862222,4.3
15,0.367611,0.870937,0.500233,0.862222,4.3
16,0.365283,0.861377,0.478411,0.813333,4.2
17,0.403210,0.842256,0.487798,0.848889,4.8
18,0.309986,0.896750,0.395113,0.848889,5.0
19,0.275832,0.895793,0.346940,0.880000,4.8
20,0.224742,0.921606,0.296231,0.906667,4.1
21,0.253766,0.905354,0.238600,0.920000,4.2
22,0.212040,0.926386,0.415910,0.866667,4.1
23,0.216662,0.926386,0.273427,0.902222,4.3
24,0.209082,0.918738,0.304112,0.902222,4.0
25,0.160263,0.951243,0.219729,0.933333,4.0
26,0.124051,0.958891,0.164301,0.964444,4.3
27,0.154462,0.953155,0.221252,0.933333,4.0
28,0.156573,0.933078,0.200118,0.920000,4.0
29,0.117882,0.956979,0.196679,0.937778,4.1
30,0.096633,0.964627,0.156035,0.960000,4.3
31,0.072620,0.977055,0.178707,0.968889,4.0
32,0.096499,0.970363,0.186291,0.937778,4.3
33,0.090349,0.972275,0.130335,0.960000,4.1
34,0.084515,0.965583,0.109773,0.964444,4.1
35,0.054243,0.983748,0.112088,0.968889,5.7
36,0.062154,0.975143,0.156588,0.964444,4.9
37,0.047765,0.987572,0.131398,0.973333,4.2
38,0.046368,0.988528,0.102786,0.977778,4.6
39,0.054125,0.981836,0.112239,0.968889,4.1
40,0.029377,0.993308,0.115490,0.968889,4.0
41,0.027631,0.994264,0.094991,0.977778,4.1
42,0.024664,0.993308,0.104614,0.977778,4.0
43,0.031300,0.987572,0.100824,0.973333,4.3
44,0.027772,0.991396,0.102235,0.977778,4.2
45,0.035750,0.983748,0.102007,0.977778,4.1
46,0.023166,0.993308,0.102529,0.977778,4.3
47,0.016763,0.995220,0.101617,0.977778,4.3
48,0.019189,0.997132,0.109501,0.977778,4.1
49,0.022287,0.992352,0.104437,0.977778,4.0
50,0.016968,0.996176,0.106426,0.977778,4.2
